# IdentifierType.txt
# Date: 2025-08-04, 21:58:43 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: set of Identifier_Type values
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Type is defined as
# mapping each code point to a set of enumerated values.
# The short name of Identifier_Type is ID_Type.
# The possible values are:
#   Not_Character, Deprecated, Default_Ignorable, Not_NFKC, Not_XID,
#   Exclusion, Obsolete, Technical, Uncommon_Use, Limited_Use, Inclusion, Recommended
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Type
# have the value Not_Character.

# @missing: 0000..10FFFF; Not_Character

# As usual, sets are unordered, with no duplicate values.


#	Identifier_Type:	Recommended

5039..503C    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5039..CJK UNIFIED IDEOGRAPH-503C
503E..5041    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-503E..CJK UNIFIED IDEOGRAPH-5041
5043..5051    ; Recommended                    # 1.1   [15] CJK UNIFIED IDEOGRAPH-5043..CJK UNIFIED IDEOGRAPH-5051
5053..5057    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5053..CJK UNIFIED IDEOGRAPH-5057
5059..507B    ; Recommended                    # 1.1   [35] CJK UNIFIED IDEOGRAPH-5059..CJK UNIFIED IDEOGRAPH-507B
507D..5080    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-507D..CJK UNIFIED IDEOGRAPH-5080
5082..5092    ; Recommended                    # 1.1   [17] CJK UNIFIED IDEOGRAPH-5082..CJK UNIFIED IDEOGRAPH-5092
5094..5096    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5094..CJK UNIFIED IDEOGRAPH-5096
5098..509E    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5098..CJK UNIFIED IDEOGRAPH-509E
50A2..50B8    ; Recommended                    # 1.1   [23] CJK UNIFIED IDEOGRAPH-50A2..CJK UNIFIED IDEOGRAPH-50B8
50BA..50C2    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-50BA..CJK UNIFIED IDEOGRAPH-50C2
50C4..50D7    ; Recommended                    # 1.1   [20] CJK UNIFIED IDEOGRAPH-50C4..CJK UNIFIED IDEOGRAPH-50D7
50D9..50DE    ; Recommended                    # 1.1    [6] CJK UNIFIED IDEOGRAPH-50D9..CJK UNIFIED IDEOGRAPH-50DE
50E0          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-50E0
50E3..50EA    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-50E3..CJK UNIFIED IDEOGRAPH-50EA
50EC..50F3    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-50EC..CJK UNIFIED IDEOGRAPH-50F3
50F5..50F6    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-50F5..CJK UNIFIED IDEOGRAPH-50F6
50F8..511A    ; Recommended                    # 1.1   [35] CJK UNIFIED IDEOGRAPH-50F8..CJK UNIFIED IDEOGRAPH-511A
511C..5127    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-511C..CJK UNIFIED IDEOGRAPH-5127
5129..512A    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5129..CJK UNIFIED IDEOGRAPH-512A
512C..5141    ; Recommended                    # 1.1   [22] CJK UNIFIED IDEOGRAPH-512C..CJK UNIFIED IDEOGRAPH-5141
5143..5149    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5143..CJK UNIFIED IDEOGRAPH-5149
514B..514E    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-514B..CJK UNIFIED IDEOGRAPH-514E
5150..5152    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5150..CJK UNIFIED IDEOGRAPH-5152
5154..5157    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5154..CJK UNIFIED IDEOGRAPH-5157
5159..515F    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5159..CJK UNIFIED IDEOGRAPH-515F
5161..5163    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5161..CJK UNIFIED IDEOGRAPH-5163
5165..5171    ; Recommended                    # 1.1   [13] CJK UNIFIED IDEOGRAPH-5165..CJK UNIFIED IDEOGRAPH-5171
5173..517D    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-5173..CJK UNIFIED IDEOGRAPH-517D
517F..5182    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-517F..CJK UNIFIED IDEOGRAPH-5182
5185..518D    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-5185..CJK UNIFIED IDEOGRAPH-518D
518F..51A0    ; Recommended                    # 1.1   [18] CJK UNIFIED IDEOGRAPH-518F..CJK UNIFIED IDEOGRAPH-51A0
51A2          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-51A2
51A4..51AC    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-51A4..CJK UNIFIED IDEOGRAPH-51AC
51AE..51B7    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-51AE..CJK UNIFIED IDEOGRAPH-51B7
51B9          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-51B9
51BB..51C1    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-51BB..CJK UNIFIED IDEOGRAPH-51C1
51C3..51D1    ; Recommended                    # 1.1   [15] CJK UNIFIED IDEOGRAPH-51C3..CJK UNIFIED IDEOGRAPH-51D1
51D4..51DE    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-51D4..CJK UNIFIED IDEOGRAPH-51DE
51E0..51EB    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-51E0..CJK UNIFIED IDEOGRAPH-51EB
51ED          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-51ED
51EF..51F1    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-51EF..CJK UNIFIED IDEOGRAPH-51F1
51F3..5252    ; Recommended                    # 1.1   [96] CJK UNIFIED IDEOGRAPH-51F3..CJK UNIFIED IDEOGRAPH-5252
5254..5265    ; Recommended                    # 1.1   [18] CJK UNIFIED IDEOGRAPH-5254..CJK UNIFIED IDEOGRAPH-5265
5267..5278    ; Recommended                    # 1.1   [18] CJK UNIFIED IDEOGRAPH-5267..CJK UNIFIED IDEOGRAPH-5278
527A..5284    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-527A..CJK UNIFIED IDEOGRAPH-5284
5286..528D    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-5286..CJK UNIFIED IDEOGRAPH-528D
528F..52C3    ; Recommended                    # 1.1   [53] CJK UNIFIED IDEOGRAPH-528F..CJK UNIFIED IDEOGRAPH-52C3
52C5..52C7    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-52C5..CJK UNIFIED IDEOGRAPH-52C7
52C9..52CB    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-52C9..CJK UNIFIED IDEOGRAPH-52CB
52CD          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-52CD
52CF..52D0    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-52CF..CJK UNIFIED IDEOGRAPH-52D0
52D2..52D3    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-52D2..CJK UNIFIED IDEOGRAPH-52D3
52D5..52E0    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-52D5..CJK UNIFIED IDEOGRAPH-52E0
52E2..52E4    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-52E2..CJK UNIFIED IDEOGRAPH-52E4
52E6..52ED    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-52E6..CJK UNIFIED IDEOGRAPH-52ED
52EF..5302    ; Recommended                    # 1.1   [20] CJK UNIFIED IDEOGRAPH-52EF..CJK UNIFIED IDEOGRAPH-5302
5305..5317    ; Recommended                    # 1.1   [19] CJK UNIFIED IDEOGRAPH-5305..CJK UNIFIED IDEOGRAPH-5317
5319..531A    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5319..CJK UNIFIED IDEOGRAPH-531A
531C..531D    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-531C..CJK UNIFIED IDEOGRAPH-531D
531F..5326    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-531F..CJK UNIFIED IDEOGRAPH-5326
5328          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-5328
532A..5331    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-532A..CJK UNIFIED IDEOGRAPH-5331
5333..5334    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5333..CJK UNIFIED IDEOGRAPH-5334
5337..5341    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-5337..CJK UNIFIED IDEOGRAPH-5341
5343..535A    ; Recommended                    # 1.1   [24] CJK UNIFIED IDEOGRAPH-5343..CJK UNIFIED IDEOGRAPH-535A
535C          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-535C
535E..5369    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-535E..CJK UNIFIED IDEOGRAPH-5369
536B..536C    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-536B..CJK UNIFIED IDEOGRAPH-536C
536E..537F    ; Recommended                    # 1.1   [18] CJK UNIFIED IDEOGRAPH-536E..CJK UNIFIED IDEOGRAPH-537F
5381..53A0    ; Recommended                    # 1.1   [32] CJK UNIFIED IDEOGRAPH-5381..CJK UNIFIED IDEOGRAPH-53A0
53A2..53A9    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-53A2..CJK UNIFIED IDEOGRAPH-53A9
53AC..53AE    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-53AC..CJK UNIFIED IDEOGRAPH-53AE
53B0..53B9    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-53B0..CJK UNIFIED IDEOGRAPH-53B9
53BB..53C4    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-53BB..CJK UNIFIED IDEOGRAPH-53C4
53C6..53CE    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-53C6..CJK UNIFIED IDEOGRAPH-53CE
53D0..53DC    ; Recommended                    # 1.1   [13] CJK UNIFIED IDEOGRAPH-53D0..CJK UNIFIED IDEOGRAPH-53DC
53DF..53E6    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-53DF..CJK UNIFIED IDEOGRAPH-53E6
53E8..53FE    ; Recommended                    # 1.1   [23] CJK UNIFIED IDEOGRAPH-53E8..CJK UNIFIED IDEOGRAPH-53FE
5401..5419    ; Recommended                    # 1.1   [25] CJK UNIFIED IDEOGRAPH-5401..CJK UNIFIED IDEOGRAPH-5419
541B..5421    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-541B..CJK UNIFIED IDEOGRAPH-5421
5423..544B    ; Recommended                    # 1.1   [41] CJK UNIFIED IDEOGRAPH-5423..CJK UNIFIED IDEOGRAPH-544B
544D..545C    ; Recommended                    # 1.1   [16] CJK UNIFIED IDEOGRAPH-544D..CJK UNIFIED IDEOGRAPH-545C
545E..5468    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-545E..CJK UNIFIED IDEOGRAPH-5468
546A..5489    ; Recommended                    # 1.1   [32] CJK UNIFIED IDEOGRAPH-546A..CJK UNIFIED IDEOGRAPH-5489
548B..54B4    ; Recommended                    # 1.1   [42] CJK UNIFIED IDEOGRAPH-548B..CJK UNIFIED IDEOGRAPH-54B4
54B6..54F5    ; Recommended                    # 1.1   [64] CJK UNIFIED IDEOGRAPH-54B6..CJK UNIFIED IDEOGRAPH-54F5
54F7..5514    ; Recommended                    # 1.1   [30] CJK UNIFIED IDEOGRAPH-54F7..CJK UNIFIED IDEOGRAPH-5514
5516..5517    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5516..CJK UNIFIED IDEOGRAPH-5517
551A..5546    ; Recommended                    # 1.1   [45] CJK UNIFIED IDEOGRAPH-551A..CJK UNIFIED IDEOGRAPH-5546
5548..555F    ; Recommended                    # 1.1   [24] CJK UNIFIED IDEOGRAPH-5548..CJK UNIFIED IDEOGRAPH-555F
5561..5579    ; Recommended                    # 1.1   [25] CJK UNIFIED IDEOGRAPH-5561..CJK UNIFIED IDEOGRAPH-5579
557B..55DF    ; Recommended                    # 1.1  [101] CJK UNIFIED IDEOGRAPH-557B..CJK UNIFIED IDEOGRAPH-55DF
55E1..55F7    ; Recommended                    # 1.1   [23] CJK UNIFIED IDEOGRAPH-55E1..CJK UNIFIED IDEOGRAPH-55F7
55F9..5609    ; Recommended                    # 1.1   [17] CJK UNIFIED IDEOGRAPH-55F9..CJK UNIFIED IDEOGRAPH-5609
560C..561F    ; Recommended                    # 1.1   [20] CJK UNIFIED IDEOGRAPH-560C..CJK UNIFIED IDEOGRAPH-561F
5621..562A    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-5621..CJK UNIFIED IDEOGRAPH-562A
562C..5636    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-562C..CJK UNIFIED IDEOGRAPH-5636
5638..563B    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5638..CJK UNIFIED IDEOGRAPH-563B
563D..5643    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-563D..CJK UNIFIED IDEOGRAPH-5643
5645..564A    ; Recommended                    # 1.1    [6] CJK UNIFIED IDEOGRAPH-5645..CJK UNIFIED IDEOGRAPH-564A
564C..5650    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-564C..CJK UNIFIED IDEOGRAPH-5650
5652..5655    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5652..CJK UNIFIED IDEOGRAPH-5655
5657..565E    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-5657..CJK UNIFIED IDEOGRAPH-565E
5660          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-5660
5662..5674    ; Recommended                    # 1.1   [19] CJK UNIFIED IDEOGRAPH-5662..CJK UNIFIED IDEOGRAPH-5674
5676..567C    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5676..CJK UNIFIED IDEOGRAPH-567C
567E..5687    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-567E..CJK UNIFIED IDEOGRAPH-5687
5689..568A    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5689..CJK UNIFIED IDEOGRAPH-568A
568C..5695    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-568C..CJK UNIFIED IDEOGRAPH-5695
5697..569D    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5697..CJK UNIFIED IDEOGRAPH-569D
569F..56B9    ; Recommended                    # 1.1   [27] CJK UNIFIED IDEOGRAPH-569F..CJK UNIFIED IDEOGRAPH-56B9
56BB..56CE    ; Recommended                    # 1.1   [20] CJK UNIFIED IDEOGRAPH-56BB..CJK UNIFIED IDEOGRAPH-56CE
56D0..56D8    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-56D0..CJK UNIFIED IDEOGRAPH-56D8
56DA..56E5    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-56DA..CJK UNIFIED IDEOGRAPH-56E5
56E7..56F5    ; Recommended                    # 1.1   [15] CJK UNIFIED IDEOGRAPH-56E7..CJK UNIFIED IDEOGRAPH-56F5
56F7          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-56F7
56F9..56FA    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-56F9..CJK UNIFIED IDEOGRAPH-56FA
56FD..5704    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-56FD..CJK UNIFIED IDEOGRAPH-5704
5706..5710    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-5706..CJK UNIFIED IDEOGRAPH-5710
5712..5716    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5712..CJK UNIFIED IDEOGRAPH-5716
5718..5720    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-5718..CJK UNIFIED IDEOGRAPH-5720
5722..5723    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5722..CJK UNIFIED IDEOGRAPH-5723
5725..573C    ; Recommended                    # 1.1   [24] CJK UNIFIED IDEOGRAPH-5725..CJK UNIFIED IDEOGRAPH-573C
573E..5742    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-573E..CJK UNIFIED IDEOGRAPH-5742
5744..5747    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5744..CJK UNIFIED IDEOGRAPH-5747
5749..5754    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-5749..CJK UNIFIED IDEOGRAPH-5754
5757          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-5757
5759..5762    ; Recommended                    # 1.1   [10] CJK UNIFIED IDEOGRAPH-5759..CJK UNIFIED IDEOGRAPH-5762
5764..5777    ; Recommended                    # 1.1   [20] CJK UNIFIED IDEOGRAPH-5764..CJK UNIFIED IDEOGRAPH-5777
5779..5780    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-5779..CJK UNIFIED IDEOGRAPH-5780
5782..5786    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5782..CJK UNIFIED IDEOGRAPH-5786
5788..5795    ; Recommended                    # 1.1   [14] CJK UNIFIED IDEOGRAPH-5788..CJK UNIFIED IDEOGRAPH-5795
5797..57A7    ; Recommended                    # 1.1   [17] CJK UNIFIED IDEOGRAPH-5797..CJK UNIFIED IDEOGRAPH-57A7
57A9..57C9    ; Recommended                    # 1.1   [33] CJK UNIFIED IDEOGRAPH-57A9..CJK UNIFIED IDEOGRAPH-57C9
57CB..57D0    ; Recommended                    # 1.1    [6] CJK UNIFIED IDEOGRAPH-57CB..CJK UNIFIED IDEOGRAPH-57D0
57D2..57DA    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-57D2..CJK UNIFIED IDEOGRAPH-57DA
57DC..5816    ; Recommended                    # 1.1   [59] CJK UNIFIED IDEOGRAPH-57DC..CJK UNIFIED IDEOGRAPH-5816
5819..584F    ; Recommended                    # 1.1   [55] CJK UNIFIED IDEOGRAPH-5819..CJK UNIFIED IDEOGRAPH-584F
5851..5855    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5851..CJK UNIFIED IDEOGRAPH-5855
5857..585F    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-5857..CJK UNIFIED IDEOGRAPH-585F
5861..5865    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5861..CJK UNIFIED IDEOGRAPH-5865
5868..5876    ; Recommended                    # 1.1   [15] CJK UNIFIED IDEOGRAPH-5868..CJK UNIFIED IDEOGRAPH-5876
5878..5894    ; Recommended                    # 1.1   [29] CJK UNIFIED IDEOGRAPH-5878..CJK UNIFIED IDEOGRAPH-5894
5896..58A9    ; Recommended                    # 1.1   [20] CJK UNIFIED IDEOGRAPH-5896..CJK UNIFIED IDEOGRAPH-58A9
58AB..58B5    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-58AB..CJK UNIFIED IDEOGRAPH-58B5
58B7..58BF    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-58B7..CJK UNIFIED IDEOGRAPH-58BF
58C1..58C2    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-58C1..CJK UNIFIED IDEOGRAPH-58C2
58C5..58CC    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-58C5..CJK UNIFIED IDEOGRAPH-58CC
58CE..58CF    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-58CE..CJK UNIFIED IDEOGRAPH-58CF
58D1..58E0    ; Recommended                    # 1.1   [16] CJK UNIFIED IDEOGRAPH-58D1..CJK UNIFIED IDEOGRAPH-58E0
58E2..58E5    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-58E2..CJK UNIFIED IDEOGRAPH-58E5
58E7..58F4    ; Recommended                    # 1.1   [14] CJK UNIFIED IDEOGRAPH-58E7..CJK UNIFIED IDEOGRAPH-58F4
58F6..5900    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-58F6..CJK UNIFIED IDEOGRAPH-5900
5902..5904    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5902..CJK UNIFIED IDEOGRAPH-5904
5906..5907    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5906..CJK UNIFIED IDEOGRAPH-5907
5909..5910    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-5909..CJK UNIFIED IDEOGRAPH-5910
5912          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-5912
5914..5922    ; Recommended                    # 1.1   [15] CJK UNIFIED IDEOGRAPH-5914..CJK UNIFIED IDEOGRAPH-5922
5924..5932    ; Recommended                    # 1.1   [15] CJK UNIFIED IDEOGRAPH-5924..CJK UNIFIED IDEOGRAPH-5932
5934..5935    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5934..CJK UNIFIED IDEOGRAPH-5935
5937..5958    ; Recommended                    # 1.1   [34] CJK UNIFIED IDEOGRAPH-5937..CJK UNIFIED IDEOGRAPH-5958
595A          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-595A
595C..59B6    ; Recommended                    # 1.1   [91] CJK UNIFIED IDEOGRAPH-595C..CJK UNIFIED IDEOGRAPH-59B6
59B8..59E6    ; Recommended                    # 1.1   [47] CJK UNIFIED IDEOGRAPH-59B8..CJK UNIFIED IDEOGRAPH-59E6
59E8..5A23    ; Recommended                    # 1.1   [60] CJK UNIFIED IDEOGRAPH-59E8..CJK UNIFIED IDEOGRAPH-5A23
5A25          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-5A25
5A27..5A2B    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5A27..CJK UNIFIED IDEOGRAPH-5A2B
5A2D..5A2F    ; Recommended                    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5A2D..CJK UNIFIED IDEOGRAPH-5A2F
5A31..5A53    ; Recommended                    # 1.1   [35] CJK UNIFIED IDEOGRAPH-5A31..CJK UNIFIED IDEOGRAPH-5A53
5A55..5A58    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5A55..CJK UNIFIED IDEOGRAPH-5A58
5A5A..5A6E    ; Recommended                    # 1.1   [21] CJK UNIFIED IDEOGRAPH-5A5A..CJK UNIFIED IDEOGRAPH-5A6E
5A70          ; Recommended                    # 1.1        CJK UNIFIED IDEOGRAPH-5A70
5A72..5A86    ; Recommended                    # 1.1   [21] CJK UNIFIED IDEOGRAPH-5A72..CJK UNIFIED IDEOGRAPH-5A86
5A88..5A8C    ; Recommended                    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5A88..CJK UNIFIED IDEOGRAPH-5A8C
5A8E..5AAA    ; Recommended                    # 1.1   [29] CJK UNIFIED IDEOGRAPH-5A8E..CJK UNIFIED IDEOGRAPH-5AAA
5AAC..5AD2    ; Recommended                    # 1.1   [39] CJK UNIFIED IDEOGRAPH-5AAC..CJK UNIFIED IDEOGRAPH-5AD2
5AD4..5AEE    ; Recommended                    # 1.1   [27] CJK UNIFIED IDEOGRAPH-5AD4..CJK UNIFIED IDEOGRAPH-5AEE
5AF1..5B09    ; Recommended                    # 1.1   [25] CJK UNIFIED IDEOGRAPH-5AF1..CJK UNIFIED IDEOGRAPH-5B09
5B0B..5B0C    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5B0B..CJK UNIFIED IDEOGRAPH-5B0C
5B0E..5B38    ; Recommended                    # 1.1   [43] CJK UNIFIED IDEOGRAPH-5B0E..CJK UNIFIED IDEOGRAPH-5B38
5B3A..5B45    ; Recommended                    # 1.1   [12] CJK UNIFIED IDEOGRAPH-5B3A..CJK UNIFIED IDEOGRAPH-5B45
5B47..5B4E    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-5B47..CJK UNIFIED IDEOGRAPH-5B4E
5B50..5B51    ; Recommended                    # 1.1    [2] CJK UNIFIED IDEOGRAPH-5B50..CJK UNIFIED IDEOGRAPH-5B51
5B53..5B5F    ; Recommended                    # 1.1   [13] CJK UNIFIED IDEOGRAPH-5B53..CJK UNIFIED IDEOGRAPH-5B5F
5B62..5B6E    ; Recommended                    # 1.1   [13] CJK UNIFIED IDEOGRAPH-5B62..CJK UNIFIED IDEOGRAPH-5B6E
5B70..5B78    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-5B70..CJK UNIFIED IDEOGRAPH-5B78
5B7A..5B7D    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5B7A..CJK UNIFIED IDEOGRAPH-5B7D
5B7F..5B85    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5B7F..CJK UNIFIED IDEOGRAPH-5B85
5B87..5B8F    ; Recommended                    # 1.1    [9] CJK UNIFIED IDEOGRAPH-5B87..CJK UNIFIED IDEOGRAPH-5B8F
5B91..5BA8    ; Recommended                    # 1.1   [24] CJK UNIFIED IDEOGRAPH-5B91..CJK UNIFIED IDEOGRAPH-5BA8
5BAA..5BB1    ; Recommended                    # 1.1    [8] CJK UNIFIED IDEOGRAPH-5BAA..CJK UNIFIED IDEOGRAPH-5BB1
5BB3..5BB6    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5BB3..CJK UNIFIED IDEOGRAPH-5BB6
5BB8..5BBB    ; Recommended                    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5BB8..CJK UNIFIED IDEOGRAPH-5BBB
5BBD..5BC7    ; Recommended                    # 1.1   [11] CJK UNIFIED IDEOGRAPH-5BBD..CJK UNIFIED IDEOGRAPH-5BC7
5BC9..5BD9    ; Recommended                    # 1.1   [17] CJK UNIFIED IDEOGRAPH-5BC9..CJK UNIFIED IDEOGRAPH-5BD9
5BDB..5BFF    ; Recommended                    # 1.1   [37] CJK UNIFIED IDEOGRAPH-5BDB..CJK UNIFIED IDEOGRAPH-5BFF
5C01..5C1A    ; Recommended                    # 1.1   [26] CJK UNIFIED IDEOGRAPH-5C01..CJK UNIFIED IDEOGRAPH-5C1A
5C1C..5C22    ; Recommended                    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5C1C..CJK UNIFIED IDEOGRAPH-5C22
